n porównania przestawienia czas

100 3586 2449 0.093 
100 3608 2443 0.165 
100 3449 2391 0.076 
100 3716 2554 0.122 
100 3446 2362 0.13 
100 3274 2268 0.071 
100 3451 2334 0.16 
100 3561 2429 0.145 
100 3466 2333 0.089 
100 3222 2260 0.076 
100 3348 2234 0.102 
100 3712 2485 0.116 
100 3311 2226 0.098 
100 3411 2291 0.101 
100 3205 2167 0.147 
100 3618 2381 0.157 
100 3273 2205 0.099 
100 3680 2496 0.163 
100 3546 2432 0.108 
100 3592 2410 0.107 
100 3551 2380 0.105 
100 3470 2275 0.099 
100 3420 2311 0.103 
100 3577 2393 0.105 
100 3737 2584 0.113 
100 3636 2485 0.161 
100 3402 2271 0.098 
100 3569 2478 0.163 
100 3479 2366 0.103 
100 3372 2293 0.101 
100 3597 2380 0.106 
100 3638 2459 0.107 
100 3709 2510 0.111 
100 3395 2281 0.101 
100 3641 2438 0.109 
100 3581 2430 0.113 
100 3554 2397 0.105 
100 3497 2339 0.101 
100 3536 2435 0.107 
100 3445 2334 0.102 
100 3641 2470 0.109 
100 3544 2422 0.105 
100 3544 2381 0.159 
100 3635 2513 0.108 
100 3740 2509 0.111 
100 3506 2410 0.106 
100 3485 2311 0.102 
100 3598 2430 0.105 
100 3387 2262 0.15 
100 3724 2528 0.165 
100 3600 2448 0.106 
100 3153 2128 0.098 
100 2970 2013 0.095 
100 3348 2281 0.099 
100 3550 2426 0.107 
100 3535 2380 0.104 
100 3616 2395 0.105 
100 3575 2416 0.106 
100 3591 2483 0.108 
100 3584 2471 0.108 
100 3379 2319 0.102 
100 3558 2403 0.107 
100 3475 2384 0.103 
100 3421 2352 0.103 
100 3342 2259 0.101 
100 3515 2361 0.156 
100 3434 2288 0.103 
100 3523 2396 0.103 
100 3405 2351 0.103 
100 3473 2402 0.104 
100 3344 2260 0.099 
100 3388 2290 0.099 
100 3607 2409 0.107 
100 3631 2479 0.115 
100 3531 2377 0.104 
100 3609 2506 0.11 
100 3608 2454 0.108 
100 3467 2337 0.105 
100 3288 2229 0.07 
100 2777 1888 0.086 
100 3453 2341 0.101 
100 3531 2374 0.104 
100 3605 2402 0.106 
100 3556 2391 0.157 
100 3434 2296 0.101 
100 3507 2394 0.105 
100 3596 2397 0.104 
100 3511 2323 0.103 
100 3699 2566 0.117 
100 3466 2340 0.102 
100 3582 2404 0.104 
100 3508 2390 0.156 
100 3439 2359 0.155 
100 3538 2431 0.107 
100 3499 2368 0.103 
100 3374 2299 0.101 
100 3523 2421 0.159 
100 3405 2362 0.106 
100 3381 2239 0.098 
100 3374 2280 0.153 
200 8030 5563 0.236 
200 8606 5993 0.245 
200 8626 5892 0.257 
200 8574 5897 0.162 
200 8680 5998 0.304 
200 8738 6175 0.17 
200 8484 5842 0.211 
200 8707 6019 0.319 
200 8255 5677 0.286 
200 8684 6068 0.18 
200 8409 5795 0.171 
200 8651 5962 0.35 
200 7947 5626 0.243 
200 8588 5905 0.232 
200 8651 5908 0.233 
200 8532 5871 0.288 
200 8438 5925 0.242 
200 8126 5620 0.285 
200 8689 5997 0.213 
200 8371 5832 0.25 
200 8328 5848 0.17 
200 8760 5965 0.175 
200 8419 5831 0.187 
200 8800 6155 0.251 
200 8184 5735 0.225 
200 8391 5687 0.222 
200 8751 6086 0.353 
200 8481 5867 0.23 
200 8438 5847 0.228 
200 8394 6006 0.23 
200 8112 5729 0.222 
200 8135 5527 0.255 
200 8872 6057 0.234 
200 8349 5774 0.229 
200 8875 6161 0.238 
200 8651 5979 0.234 
200 8579 5900 0.254 
200 8408 5842 0.228 
200 8518 5794 0.339 
200 8653 5944 0.37 
200 8351 5929 0.227 
200 8471 5858 0.229 
200 8342 5812 0.225 
200 8496 5880 0.228 
200 8293 5691 0.226 
200 8494 5925 0.23 
200 8400 5902 0.232 
200 8611 5834 0.375 
200 8005 5471 0.324 
200 8047 5642 0.225 
200 8519 5860 0.229 
200 8692 6099 0.233 
200 8486 5897 0.229 
200 8112 5495 0.31 
200 8774 6038 0.274 
200 8211 5768 0.226 
200 8877 6076 0.237 
200 7825 5378 0.317 
200 8594 5853 0.227 
200 8304 5782 0.224 
200 8578 5807 0.23 
200 8451 5858 0.226 
200 8218 5775 0.333 
200 7963 5555 0.218 
200 8078 5437 0.217 
200 8545 5952 0.234 
200 8418 5819 0.158 
200 8586 6008 0.232 
200 8466 5905 0.231 
200 8348 5800 0.225 
200 8553 5884 0.23 
200 7715 5274 0.218 
200 8722 6085 0.235 
200 8742 6042 0.333 
200 8578 6057 0.237 
200 8537 5951 0.236 
200 8778 5974 0.234 
200 8510 5935 0.231 
200 8510 5945 0.231 
200 8284 5719 0.224 
200 8478 5894 0.227 
200 8598 5994 0.294 
200 8152 5593 0.296 
200 8741 6023 0.295 
200 8573 5942 0.284 
200 8207 5677 0.241 
200 8274 5762 0.248 
200 8266 5729 0.252 
200 8088 5668 0.339 
200 8456 5948 0.23 
200 8188 5738 0.223 
200 7459 5209 0.206 
200 8895 6164 0.238 
200 8674 5962 0.233 
200 8554 5907 0.23 
200 8659 5882 0.345 
200 8589 5964 0.232 
200 8339 5787 0.229 
200 7601 5272 0.212 
200 8185 5749 0.224 
300 13598 9546 0.348 
300 13995 9785 0.54 
300 13650 9649 0.282 
300 13796 9653 0.311 
300 14084 9931 0.281 
300 12920 9186 0.258 
300 13721 9663 0.259 
300 13435 9545 0.359 
300 13476 9406 0.348 
300 13407 9165 0.346 
300 13821 9731 0.354 
300 13864 9796 0.362 
300 14111 9748 0.364 
300 14272 9893 0.55 
300 13319 9393 0.519 
300 13965 9906 0.385 
300 14153 9791 0.381 
300 13257 9290 0.352 
300 13786 9748 0.356 
300 14141 9834 0.363 
300 13849 9953 0.384 
300 13968 9923 0.366 
300 14245 9961 0.368 
300 13641 9615 0.523 
300 13516 9202 0.345 
300 13400 9555 0.364 
300 13958 9885 0.361 
300 12645 8741 0.325 
300 13724 9623 0.352 
300 13880 9852 0.536 
300 13569 9472 0.345 
300 12636 8774 0.329 
300 14094 9938 0.37 
300 13935 9695 0.532 
300 13550 9576 0.357 
300 13624 9439 0.349 
300 13772 9607 0.356 
300 12984 9016 0.337 
300 14166 9881 0.389 
300 13240 9315 0.341 
300 13753 9576 0.354 
300 13827 9849 0.36 
300 14139 9898 0.388 
300 14175 9946 0.36 
300 13605 9456 0.348 
300 13200 9297 0.34 
300 13154 9155 0.341 
300 13546 9373 0.349 
300 14333 9974 0.369 
300 14224 9920 0.367 
300 14408 9917 0.364 
